MGR_RUNID,HL_DATE,HL_MARKET,Cntr,Region,Market,SubNetwork_2,PERIOD_START_TIME,PERIOD_DURATION,MeContext,UtranCell,pmAttNonBlindInterFreqHoCsSpeech12,pmCellDowntimeAuto,pmCellDowntimeMan,pmChSwitchAttemptUraFach,pmChSwitchSuccUraFach,pmDlTrafficVolumePs128,pmDlTrafficVolumePs16,pmDlTrafficVolumePs384,pmDlTrafficVolumePs64,pmDlTrafficVolumePs8,pmDlTrafficVolumePsCommon,pmDlTrafficVolumePsIntHs,pmDlTrafficVolumePsStr128,pmDlTrafficVolumePsStr16,pmDlTrafficVolumePsStr64,pmFailNonBlindInterFreqHoFailRevertCsSpeech12,pmNoDirRetryAtt,pmNoLoadSharingRrcConnCs,pmNoLoadSharingRrcConnPs,pmNoNormalNasSignReleaseCs,pmNoNormalRabReleaseSpeech,pmNoRabEstablishAttemptSpeech,pmNoRabEstablishSuccessSpeech,pmNoRabEstablishAttemptPacketInteractive,pmNoRabEstablishSuccessPacketInteractive,pmNoSysRelSpeechNeighbr,pmNoSystemNasSignReleaseCs,pmNoSystemRabReleaseSpeech,pmNoTimesCellFailAddToActSet,pmSamplesDchDlRlcUserPacketThp,pmSamplesHsDlRlcUserPacketThp,pmSamplesUlRssi,pmSuccNonBlindInterFreqHoCsSpeech12,pmSumBestAmr12200RabEstablish,pmSumBestAmr4750RabEstablish,pmSumBestAmr5900RabEstablish,pmSumBestAmr7950RabEstablish,pmSumBestAmrNbMmRabEstablish,pmSumBestAmrWbRabEstablish,pmSumBestCs12Establish,pmSumDchDlRlcUserPacketThp,pmSumHsDlRlcUserPacketThp,pmSumUlRssi,pmTotNoRrcConnectReqCs,pmTotNoRrcConnectReqCsSucc,pmTotNoRrcConnectReqPs,pmTotNoRrcConnectReqPsSucc
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06514A21,0,0,0,6,6,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,90,0,0,0,0,0,0,0,0,0,44,3745,0,0,2,2
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06810D11,0,0,0,63,63,0,0,0,0,0,285,1483,0,0,0,0,0,0,0,0,1,1,1,6,6,0,0,0,0,80,136,90,0,0,0,0,0,0,3,1,237,14350,4141,0,0,9,9
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06809A12,0,0,0,30,30,0,0,0,0,0,97,466,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,25,36,90,0,0,0,0,0,1,0,1,72,4555,5298,3,3,3,3
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06348A22,0,0,0,213,213,0,0,0,0,0,822,129060,0,0,0,0,0,0,0,1,2,1,1,6,6,0,0,0,0,235,5123,90,0,0,0,0,0,10,0,70,615,1261169,5775,1,1,2,2
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06288F12,0,0,0,289,289,0,0,0,0,0,2243,374031,0,0,0,0,0,0,0,2,4,2,2,91,91,0,0,0,0,608,14439,90,0,0,0,0,0,49,2,69,1978,3635656,3766,2,2,32,32
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06345F21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,10,0,0,4437,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06543A22,0,0,0,112,112,0,0,0,0,0,1030,521476,0,0,0,0,0,0,0,1,1,1,1,27,27,0,0,0,0,311,9217,90,0,0,0,0,0,12,64,166,948,5111669,6101,1,1,15,15
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ05432E32,0,0,0,290,290,0,0,0,0,0,1757,309951,0,0,0,0,0,0,0,2,0,2,2,59,59,0,0,0,0,524,13691,90,0,0,0,0,0,2,1,181,1555,3029628,4591,1,1,13,13
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06590A12,0,0,0,45,45,0,0,0,0,0,341,125660,0,0,0,0,0,0,0,0,1,1,1,13,13,0,0,0,0,118,2800,90,0,0,0,0,0,0,0,7,356,1224305,5379,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06401L12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,4824,0,0,0,0
